plane_tail_number,start_date,end_date,city,state,country,airport_code,confidence,source,notes,more_info,mdx_page,attendee_class,charlie_present,erika_present,days_on_ground,days_before_sept10,airport_class,is_us_leg,kirk_event_in_window,kirk_event_gap_days,linked_overlap_ids,metro_area
SU-BTU,2025-02-15,2025-02-16,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,207,business-aviation airport,no,,,,Paris FR
SU-BTU,2025-02-16,2025-02-16,St. Louis,MO,USA,KSTL/KCPS,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Entry at St. Louis Lambert (STL), then a 0:15 repositioning hop to St. Louis Downtown (CPS). TWO METRO FIELDS, ONE VISIT - the overlap sheet counts them separately.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/StLouis_KSTL_2022-12-20_to_2025-02-23.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,206,major international + GA reliever pair,yes,,,,St. Louis metro
SU-BTU,2025-02-16,2025-02-22,St. Louis,MO,USA,KSTL/KCPS,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at St. Louis Downtown (CPS).,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/StLouis_KSTL_2022-12-20_to_2025-02-23.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,206,major international + GA reliever pair,yes,,,,St. Louis metro
SU-BTU,2025-02-22,2025-02-23,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 9:52.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,200,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTU,2025-04-07,2025-04-08,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,156,business-aviation airport,no,,,,Paris FR
SU-BTU,2025-04-08,2025-04-08,Minot,ND,USA,KMOT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","US ENTRY. Paris-Minot 8:11, landed 10:14 AM; Minot-Provo 1:43, landed 12:32 PM. Customs happened here, not at Provo. Nobody has requested the North Dakota records.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Minot_KMOT_2025-04-08_to_2025-09-04.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,155,small commercial international (US customs),yes,,,,Minot ND
SU-BTU,2025-04-08,2025-04-14,Provo,UT,USA,KPVU,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Six-day stay. Charlie Kirk was on the American Comeback Tour in Illinois, Indiana and Michigan across this window - not in Utah. No pairing claimed for these dates by anyone.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,155,regional / municipal (Duncan Aviation MRO),yes,,,,Wasatch Front UT
SU-BTU,2025-04-14,2025-04-15,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:10.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,149,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTU,2025-04-23,2025-04-24,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,140,business-aviation airport,no,,,,Paris FR
SU-BTU,2025-04-24,2025-04-24,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Entry field. Paris-Omaha 8:52; hop to Lincoln 0:16.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,139,commercial international (US customs),yes,,,,Omaha-Lincoln NE
SU-BTU,2025-04-24,2025-04-30,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at Duncan Aviation's main plant.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,139,commercial / joint civil-military (Duncan Aviation HQ),yes,,,EXTRA-007,Omaha-Lincoln NE
SU-BTU,2025-04-30,2025-05-01,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:57.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,133,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2024-12-07,2024-12-08,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,277,business-aviation airport,no,,,,Paris FR
SU-BTV,2024-12-08,2024-12-10,Wichita,KS,USA,KICT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Two-day stay. Wichita is the 'Air Capital of the World'; Yingling Aviation is an FAA Part 145 Dassault Falcon service centre. Nine claimed Wichita overlaps on the Owens sheet put the aircraft in Egypt instead.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wichita_KICT_2022-11-13_to_2025-08-03.mdx,NONE_DOCUMENTED,not_documented,not_documented,2,276,commercial international (Yingling Falcon MRO),yes,,,,Wichita KS
SU-BTV,2024-12-10,2024-12-15,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:38.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,5,274,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2025-02-02,2025-02-03,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,220,business-aviation airport,no,,,,Paris FR
SU-BTV,2025-02-03,2025-02-03,Detroit,MI,USA,KDTW,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","US entry at a major international hub - the most conventional entry point this fleet used anywhere. Onward to Lincoln, 1:46. NO KIRK OR TPUSA PAIRING HAS EVER BEEN OFFERED for this date, and Michigan is in none of the clustering claims.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Detroit_KDTW_2025-02-03_to_2025-03-30.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,219,major international hub (US customs),yes,,,,Detroit MI
SU-BTV,2025-02-03,2025-02-09,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at Duncan Aviation's main plant.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,219,commercial / joint civil-military (Duncan Aviation HQ),yes,,,,Omaha-Lincoln NE
SU-BTV,2025-02-09,2025-02-10,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:19.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,213,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2025-03-16,2025-03-17,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,178,business-aviation airport,no,,,,Paris FR
SU-BTV,2025-03-17,2025-03-17,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Entry field. Paris-Omaha 8:39; hop to Lincoln 0:18.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,177,commercial international (US customs),yes,,,,Omaha-Lincoln NE
SU-BTV,2025-03-17,2025-03-23,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at Duncan Aviation's main plant.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,177,commercial / joint civil-military (Duncan Aviation HQ),yes,,,,Omaha-Lincoln NE
SU-BTV,2025-03-23,2025-03-24,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:29.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,171,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2025-03-29,2025-03-30,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,165,business-aviation airport,no,,,,Paris FR
SU-BTV,2025-03-30,2025-03-30,Detroit,MI,USA,KDTW,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Second Detroit entry. Onward to Wichita, 1:55. Again no Kirk or TPUSA pairing offered by anyone.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Detroit_KDTW_2025-02-03_to_2025-03-30.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,164,major international hub (US customs),yes,,,,Detroit MI
SU-BTV,2025-03-30,2025-04-03,Wichita,KS,USA,KICT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Four-day stay at the Falcon service centre.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wichita_KICT_2022-11-13_to_2025-08-03.mdx,NONE_DOCUMENTED,not_documented,not_documented,4,164,commercial international (Yingling Falcon MRO),yes,,,,Wichita KS
SU-BTV,2025-04-03,2025-04-06,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 11:11.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,3,160,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2025-05-26,2025-05-27,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,107,business-aviation airport,no,,,,Paris FR
SU-BTV,2025-05-27,2025-05-27,Minot,ND,USA,KMOT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",US ENTRY. Paris-Minot 8:21; Minot-Provo 1:35.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Minot_KMOT_2025-04-08_to_2025-09-04.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,106,small commercial international (US customs),yes,,,,Minot ND
SU-BTV,2025-05-27,2025-06-02,Provo,UT,USA,KPVU,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","TAIL CORRECTION. The earlier version of this file attributed this stay to SU-BTU; the ADS-B history for SU-BTV shows Minot-Provo on 27 May and Provo-Wilmington on 2 Jun, and SU-BTV.mdx already carries it. The Walid Mahmoud passenger claim attached to this window names a LIVING PRIVATE PERSON and is unverified - a Google Scholar profile for a Waleed E. Mahmoud, Department of Physics, Suez Canal University, is the only supporting item published, and a name match is not an identification.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,106,regional / municipal (Duncan Aviation MRO),yes,,,,Wasatch Front UT
SU-BTV,2025-06-02,2025-06-03,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:26.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,100,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2025-07-29,2025-07-30,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,43,business-aviation airport,no,,,,Paris FR
SU-BTV,2025-07-30,2025-08-03,Wichita,KS,USA,KICT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Four-day stay at the Falcon service centre.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wichita_KICT_2022-11-13_to_2025-08-03.mdx,NONE_DOCUMENTED,not_documented,not_documented,4,42,commercial international (Yingling Falcon MRO),yes,,,,Wichita KS
SU-BTV,2025-08-03,2025-08-06,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:01.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,3,38,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTV,2025-10-04,2025-10-05,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,-24,business-aviation airport,no,,,,Paris FR
SU-BTV,2025-10-05,2025-10-05,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Entry field. Paris-Omaha 9:20; hop to Lincoln 0:19. THIS IS A MONTH AFTER THE ASSASSINATION.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,-25,commercial international (US customs),yes,,,,Omaha-Lincoln NE
SU-BTV,2025-10-05,2025-10-11,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Six-day stay - the identical Nebraska rotation, flown a month after Charlie Kirk's death. THE ROTATIONS CONTINUE AFTERWARDS, which is the single strongest argument that the pattern is a maintenance schedule rather than a tasking.",site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,-25,commercial / joint civil-military (Duncan Aviation HQ),yes,,,,Omaha-Lincoln NE
SU-BTV,2025-10-11,2025-10-12,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:53.,site/docs/Planes/SU-BTV.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,-31,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
T7ELL,UNKNOWN,UNKNOWN,,,San Marino (T7- prefix),,no_published_legs,"Charlie_Kirk.txt 'Egypt 5 Planes' section, citing @ProjectConstitu 1999347020142710872.","NO PUBLISHED LEGS. T7- is the SAN MARINO civil prefix, not Egyptian SU-. Carried as an empty row so the tail is not silently dropped. RELEVANT NUANCE: a T7- registration IS documented in Egyptian intelligence use - @Dinlas3 (29 Aug 2024) tracked Bombardier BD-700 T7-EGY, Mode S 500215, reportedly used by then-Egyptian General Intelligence head Abbas Kamel, Cairo to Port Sudan 23 Aug, Brazzaville 26 Aug, Nairobi, then El-Alamein. That makes the San Marino prefix less disqualifying than it first looks, but it is still not evidence about T7ELL, for which no leg has ever been published.",site/docs/Planes/T7ELL-EJM36.mdx,,UNKNOWN,unknown,unknown,,,UNKNOWN,no,,,,UNKNOWN
